learning_rate,exploration_rate,shrinkage_factor,time_taken,average_guesses,win_rate
0.1,0.5,0.5,10.694270133972168,6.18,67.0
0.1,0.5,0.6,11.956664085388184,6.21,64.0
0.1,0.5,0.7,14.505131483078003,6.56,68.0
0.1,0.5,0.8,10.509966135025024,6.35,60.0
0.1,0.5,0.9,13.593368291854858,6.19,65.0
0.1,0.6,0.5,12.090104341506958,5.89,70.0
0.1,0.6,0.6,10.240668535232544,6.33,64.0
0.1,0.6,0.7,10.986306190490723,6.26,68.0
0.1,0.6,0.8,9.70774221420288,6.26,62.0
0.1,0.6,0.9,11.760925769805908,6.29,61.0
0.1,0.7,0.5,11.32911729812622,6.32,65.0
0.1,0.7,0.6,11.09190058708191,6.61,60.0
0.1,0.7,0.7,10.223008871078491,6.05,69.0
0.1,0.7,0.8,12.194458484649658,6.05,69.0
0.1,0.7,0.9,11.284685611724854,5.95,70.0
0.1,0.8,0.5,10.60724925994873,6.74,61.0
0.1,0.8,0.6,12.19642162322998,5.99,64.0
0.1,0.8,0.7,11.977070569992065,6.42,65.0
0.1,0.8,0.8,12.493088483810425,5.96,76.0
0.1,0.8,0.9,10.808128118515015,6.25,61.0
0.1,0.9,0.5,11.352113485336304,6.04,64.0
0.1,0.9,0.6,11.237069129943848,6.25,62.0
0.1,0.9,0.7,11.73253583908081,6.21,68.0
0.1,0.9,0.8,10.783300399780273,6.67,62.0
0.1,0.9,0.9,12.498904705047607,6.75,63.0
0.01,0.5,0.5,10.551522016525269,6.19,68.0
0.01,0.5,0.6,10.786165475845337,6.06,66.0
0.01,0.5,0.7,18.060621976852417,5.94,70.0
0.01,0.5,0.8,18.613420248031616,6.47,57.99999999999999
0.01,0.5,0.9,15.786964893341064,6.88,56.99999999999999
0.01,0.6,0.5,11.898350477218628,6.3,66.0
0.01,0.6,0.6,12.20257568359375,6.47,62.0
0.01,0.6,0.7,11.005427360534668,5.99,73.0
0.01,0.6,0.8,13.101064443588257,6.6,65.0
0.01,0.6,0.9,11.458902835845947,6.16,70.0
0.01,0.7,0.5,12.003180742263794,6.16,72.0
0.01,0.7,0.6,11.679866313934326,5.63,73.0
0.01,0.7,0.7,12.760862588882446,6.48,57.99999999999999
0.01,0.7,0.8,11.680367469787598,6.27,64.0
0.01,0.7,0.9,12.08702039718628,6.13,65.0
0.01,0.8,0.5,11.594193458557129,5.85,70.0
0.01,0.8,0.6,11.707379817962646,5.98,64.0
0.01,0.8,0.7,11.653352499008179,6.01,72.0
0.01,0.8,0.8,13.170881271362305,6.34,61.0
0.01,0.8,0.9,14.027805089950562,6.06,67.0
0.01,0.9,0.5,12.115411281585693,6.53,63.0
0.01,0.9,0.6,16.149983167648315,6.22,63.0
0.01,0.9,0.7,12.436914920806885,6.24,70.0
0.01,0.9,0.8,13.695131301879883,6.09,69.0
0.01,0.9,0.9,14.461623907089233,6.44,62.0
0.001,0.5,0.5,15.716140031814575,6.92,59.0
0.001,0.5,0.6,10.601070642471313,6.43,67.0
0.001,0.5,0.7,14.758211135864258,7.1,67.0
0.001,0.5,0.8,11.590547323226929,6.57,61.0
0.001,0.5,0.9,13.485063552856445,6.03,69.0
0.001,0.6,0.5,14.260286092758179,6.49,64.0
0.001,0.6,0.6,14.004547357559204,6.29,65.0
0.001,0.6,0.7,12.61370849609375,6.17,68.0
0.001,0.6,0.8,13.001671552658081,6.65,64.0
0.001,0.6,0.9,13.088420867919922,6.58,59.0
0.001,0.7,0.5,12.957292079925537,5.78,72.0
0.001,0.7,0.6,13.941974639892578,6.47,65.0
0.001,0.7,0.7,14.612139463424683,6.78,61.0
0.001,0.7,0.8,13.284600734710693,6.72,63.0
0.001,0.7,0.9,14.521215915679932,6.29,67.0
0.001,0.8,0.5,11.971743822097778,6.31,63.0
0.001,0.8,0.6,12.17336106300354,6.42,65.0
0.001,0.8,0.7,11.577753782272339,6.09,65.0
0.001,0.8,0.8,13.50989580154419,5.89,68.0
0.001,0.8,0.9,12.730106830596924,6.34,63.0
0.001,0.9,0.5,14.021554470062256,5.76,70.0
0.001,0.9,0.6,11.712773561477661,5.76,71.0
0.001,0.9,0.7,12.020799398422241,5.8,72.0
0.001,0.9,0.8,13.592778444290161,6.8,64.0
0.001,0.9,0.9,12.672467708587646,5.87,69.0
