learning_rate,exploration_rate,shrinkage_factor,num_of_clusters,time_taken,average_guesses,win_rate
0.1,0.5,0.5,6.0,113.38342237472534,4.84,85.0
0.1,0.5,0.5,7.0,120.46049618721008,4.86,89.0
0.1,0.5,0.5,8.0,112.24351143836975,5.18,83.0
0.1,0.5,0.5,9.0,107.99074530601501,4.97,85.0
0.1,0.5,0.5,10.0,118.99811863899231,4.77,92.0
0.1,0.5,0.6,6.0,129.59970664978027,5.11,80.0
0.1,0.5,0.6,7.0,160.64715194702148,4.85,87.0
0.1,0.5,0.6,8.0,127.05273818969727,4.93,87.0
0.1,0.5,0.6,9.0,138.55747604370117,4.88,95.0
0.1,0.5,0.6,10.0,140.03422045707703,5.18,83.0
0.1,0.5,0.7,6.0,141.641126871109,4.74,88.0
0.1,0.5,0.7,7.0,142.06559324264526,4.73,90.0
0.1,0.5,0.7,8.0,140.85405373573303,4.89,86.0
0.1,0.5,0.7,9.0,140.02164435386658,4.99,83.0
0.1,0.5,0.7,10.0,139.95622849464417,4.95,86.0
0.1,0.5,0.8,6.0,140.13544464111328,4.8,85.0
0.1,0.5,0.8,7.0,140.85975766181946,5.07,87.0
0.1,0.5,0.8,8.0,159.82195234298706,4.89,84.0
0.1,0.5,0.8,9.0,148.59617495536804,4.99,85.0
0.1,0.5,0.8,10.0,117.8501546382904,4.92,89.0
0.1,0.5,0.9,6.0,118.38146686553955,4.71,96.0
0.1,0.5,0.9,7.0,121.30137801170349,5.1,82.0
0.1,0.5,0.9,8.0,118.15318417549133,4.95,86.0
0.1,0.5,0.9,9.0,115.13912200927734,5.0,88.0
0.1,0.5,0.9,10.0,138.64939498901367,4.88,89.0
0.1,0.6,0.5,6.0,113.43353581428528,5.05,85.0
0.1,0.6,0.5,7.0,105.09692025184631,4.76,87.0
0.1,0.6,0.5,8.0,99.63631129264832,4.97,89.0
0.1,0.6,0.5,9.0,98.86211848258972,5.2,81.0
0.1,0.6,0.5,10.0,97.25691318511963,5.0,90.0
0.1,0.6,0.6,6.0,109.70287084579468,5.28,78.0
0.1,0.6,0.6,7.0,100.94774341583252,5.09,80.0
0.1,0.6,0.6,8.0,99.77597045898438,4.95,85.0
0.1,0.6,0.6,9.0,97.44871377944946,4.83,87.0
0.1,0.6,0.6,10.0,105.05844044685364,4.94,87.0
0.1,0.6,0.7,6.0,97.53373169898987,4.85,87.0
0.1,0.6,0.7,7.0,125.73083448410034,5.09,85.0
0.1,0.6,0.7,8.0,100.31152176856995,4.69,90.0
0.1,0.6,0.7,9.0,97.17601537704468,4.93,86.0
0.1,0.6,0.7,10.0,101.64891982078552,4.65,93.0
0.1,0.6,0.8,6.0,97.41242909431458,4.98,88.0
0.1,0.6,0.8,7.0,98.33526253700256,5.2,79.0
0.1,0.6,0.8,8.0,96.1284122467041,4.8,87.0
0.1,0.6,0.8,9.0,98.64934539794922,5.11,85.0
0.1,0.6,0.8,10.0,101.31697940826416,4.81,90.0
0.1,0.6,0.9,6.0,111.83335208892822,4.79,87.0
0.1,0.6,0.9,7.0,129.97892475128174,4.94,88.0
0.1,0.6,0.9,8.0,116.601402759552,4.88,86.0
0.1,0.6,0.9,9.0,121.8916711807251,4.73,93.0
0.1,0.6,0.9,10.0,114.2762930393219,5.21,83.0
0.1,0.7,0.5,6.0,105.8500714302063,4.79,91.0
0.1,0.7,0.5,7.0,107.33438158035278,5.23,79.0
0.1,0.7,0.5,8.0,104.63120722770691,5.09,80.0
0.1,0.7,0.5,9.0,122.43540024757385,4.96,85.0
0.1,0.7,0.5,10.0,103.08438992500305,4.97,92.0
0.1,0.7,0.6,6.0,102.97534418106079,4.81,88.0
0.1,0.7,0.6,7.0,105.94860482215881,4.95,84.0
0.1,0.7,0.6,8.0,105.39081978797913,4.86,82.0
0.1,0.7,0.6,9.0,111.20148754119873,4.98,88.0
0.1,0.7,0.6,10.0,142.57552337646484,4.65,92.0
0.1,0.7,0.7,6.0,104.30413293838501,4.93,91.0
0.1,0.7,0.7,7.0,141.02829480171204,4.76,93.0
0.1,0.7,0.7,8.0,141.49393129348755,4.86,89.0
0.1,0.7,0.7,9.0,142.92348194122314,4.85,91.0
0.1,0.7,0.7,10.0,146.131206035614,4.68,92.0
0.1,0.7,0.8,6.0,146.69874215126038,4.94,86.0
0.1,0.7,0.8,7.0,141.73463535308838,4.86,89.0
0.1,0.7,0.8,8.0,142.3550522327423,5.01,84.0
0.1,0.7,0.8,9.0,156.4887056350708,4.86,90.0
0.1,0.7,0.8,10.0,148.50080585479736,4.84,87.0
0.1,0.7,0.9,6.0,138.19492554664612,4.99,85.0
0.1,0.7,0.9,7.0,141.95381951332092,4.94,86.0
0.1,0.7,0.9,8.0,142.56308150291443,4.95,90.0
0.1,0.7,0.9,9.0,141.11678791046143,4.69,87.0
0.1,0.7,0.9,10.0,141.88733196258545,5.02,84.0
0.1,0.8,0.5,6.0,144.60406303405762,5.0,85.0
0.1,0.8,0.5,7.0,143.08699131011963,4.86,88.0
0.1,0.8,0.5,8.0,140.7944872379303,5.16,80.0
0.1,0.8,0.5,9.0,154.04922580718994,4.76,88.0
0.1,0.8,0.5,10.0,125.24170184135437,4.88,84.0
0.1,0.8,0.6,6.0,138.48628115653992,4.94,88.0
0.1,0.8,0.6,7.0,103.6164128780365,5.01,87.0
0.1,0.8,0.6,8.0,94.52332186698914,4.97,88.0
0.1,0.8,0.6,9.0,95.26889228820801,5.0,86.0
0.1,0.8,0.6,10.0,101.66931390762329,4.79,91.0
0.1,0.8,0.7,6.0,93.43405103683472,4.99,82.0
0.1,0.8,0.7,7.0,93.60997819900513,4.75,90.0
0.1,0.8,0.7,8.0,92.40145921707153,5.0,86.0
0.1,0.8,0.7,9.0,94.15840792655945,4.74,89.0
0.1,0.8,0.7,10.0,94.10691452026367,4.76,92.0
0.1,0.8,0.8,6.0,92.01735329627991,4.84,90.0
0.1,0.8,0.8,7.0,93.48121786117554,5.02,83.0
0.1,0.8,0.8,8.0,116.89235091209412,5.02,83.0
0.1,0.8,0.8,9.0,94.63883447647095,4.95,87.0
0.1,0.8,0.8,10.0,110.97233366966248,5.08,88.0
0.1,0.8,0.9,6.0,122.72556638717651,5.04,86.0
0.1,0.8,0.9,7.0,92.57486462593079,4.99,88.0
0.1,0.8,0.9,8.0,94.47560977935791,4.84,86.0
0.1,0.8,0.9,9.0,99.63725662231445,4.99,87.0
0.1,0.8,0.9,10.0,103.63506436347961,5.05,85.0
0.1,0.9,0.5,6.0,133.96852445602417,4.92,90.0
0.1,0.9,0.5,7.0,123.30528831481934,4.72,91.0
0.1,0.9,0.5,8.0,119.16904640197754,5.17,80.0
0.1,0.9,0.5,9.0,97.58159399032593,4.69,91.0
0.1,0.9,0.5,10.0,94.12496542930603,4.76,90.0
0.1,0.9,0.6,6.0,104.20846176147461,4.91,87.0
0.1,0.9,0.6,7.0,98.23717021942139,5.02,85.0
0.1,0.9,0.6,8.0,107.32024574279785,4.9,92.0
0.1,0.9,0.6,9.0,120.67409539222717,4.72,88.0
