learning_rate,exploration_rate,shrinkage_factor,num_of_clusters,time_taken,average_guesses,win_rate
0.1,0.5,0.5,6.0,3.8978137969970703,4.08,94.0
0.1,0.5,0.5,7.0,3.7876577377319336,3.83,100.0
0.1,0.5,0.5,8.0,4.670422077178955,4.01,98.0
0.1,0.5,0.5,9.0,4.20905613899231,4.15,94.0
0.1,0.5,0.5,10.0,3.9678590297698975,3.81,98.0
0.1,0.5,0.6,6.0,4.261775970458984,4.04,95.0
0.1,0.5,0.6,7.0,3.8791086673736572,4.24,95.0
0.1,0.5,0.6,8.0,4.099232912063599,3.94,98.0
0.1,0.5,0.6,9.0,3.975755453109741,3.88,99.0
0.1,0.5,0.6,10.0,4.623632907867432,4.06,96.0
0.1,0.5,0.7,6.0,4.045132398605347,3.94,99.0
0.1,0.5,0.7,7.0,4.775830030441284,4.19,97.0
0.1,0.5,0.7,8.0,4.251099586486816,3.98,99.0
0.1,0.5,0.7,9.0,4.295902967453003,4.14,98.0
0.1,0.5,0.7,10.0,4.141482830047607,4.15,96.0
0.1,0.5,0.8,6.0,4.2767558097839355,3.98,98.0
0.1,0.5,0.8,7.0,4.604421138763428,4.09,97.0
0.1,0.5,0.8,8.0,4.752280950546265,3.97,97.0
0.1,0.5,0.8,9.0,4.06386137008667,3.97,98.0
0.1,0.5,0.8,10.0,4.189716100692749,4.13,96.0
0.1,0.5,0.9,6.0,4.492591142654419,4.02,98.0
0.1,0.5,0.9,7.0,4.241437196731567,3.95,100.0
0.1,0.5,0.9,8.0,4.196145296096802,3.97,98.0
0.1,0.5,0.9,9.0,4.893147706985474,3.94,100.0
0.1,0.5,0.9,10.0,4.6117517948150635,3.9,98.0
0.1,0.6,0.5,6.0,4.197374582290649,4.07,98.0
0.1,0.6,0.5,7.0,4.529483318328857,3.86,99.0
0.1,0.6,0.5,8.0,4.473450422286987,4.01,96.0
0.1,0.6,0.5,9.0,4.630695104598999,4.04,98.0
0.1,0.6,0.5,10.0,4.358462572097778,4.05,100.0
0.1,0.6,0.6,6.0,4.876753330230713,4.06,97.0
